request_id,user_id,request_date,requested_amount,amount_safe_to_pay,earliest_date_for_full_payment
request_26,user_26,2025-08-03,15656000.0,15655985.08,2025-08-03
request_27,user_27,2026-07-05,6670.0,6670.0,2026-07-05
request_28,user_28,2024-06-07,1302.4,689.4,none
request_29,user_29,2025-11-04,51524.0,51523.96,2025-11-04
request_30,user_30,2026-04-06,775.2,775.2,2026-04-06
request_31,user_31,2024-09-03,18164000.0,13840345.91,none
request_32,user_32,2025-02-05,40018.0,33305.79,none
request_33,user_33,2026-01-07,118000.0,65179.91,none
request_34,user_34,2024-12-04,129400.0,129399.88,2024-12-04
request_35,user_35,2025-10-30,212000.0,125129.98,none
request_36,user_36,2026-07-03,3954.0,1446.6,none
request_37,user_37,2024-03-05,14649000.0,12068797.46,none
request_38,user_38,2025-08-07,971.3,379.4,none
request_39,user_39,2026-04-04,208600.0,203104.99,none
request_40,user_40,2024-06-06,1290.3,851.0,none
request_41,user_41,2025-11-03,38760000.0,21888922.82,none
request_42,user_42,2026-01-05,52100.0,52099.96,2026-01-05
request_43,user_43,2024-09-07,43339000.0,13988740.82,none
request_44,user_44,2025-02-04,95800.0,74560.0,none
request_45,user_45,2026-07-06,21983000.0,8833087.29,none
request_46,user_46,2024-12-03,49450.0,49449.96,2024-12-03
request_47,user_47,2025-05-05,38114000.0,38113963.66,2025-05-05
request_48,user_48,2026-07-25,45700.0,45699.97,2026-07-25
request_49,user_49,2024-03-04,34333000.0,20228775.09,none
request_50,user_50,2025-08-06,43900.0,43899.97,2025-08-06
request_51,user_51,2026-01-03,2191000.0,2190997.92,2026-01-03
request_52,user_52,2024-06-05,28870.0,28869.99,2024-06-05
request_53,user_53,2025-11-07,1699.2,1423.42,none
request_54,user_54,2026-07-04,121528.0,16581.31,none
request_55,user_55,2026-06-08,218600.0,176241.18,none
request_56,user_56,2025-02-03,881.56,881.56,2025-02-03
request_57,user_57,2026-04-05,61446.0,21214.55,none
request_58,user_58,2024-12-07,16226000.0,16225984.54,2024-12-07
request_59,user_59,2025-05-04,140600.0,140599.88,2025-05-04
request_60,user_60,2026-01-06,199.89,199.89,2026-01-06
request_61,user_61,2024-03-03,29062.0,29061.98,2024-03-03
request_62,user_62,2025-08-05,404.23,404.23,2025-08-05
request_63,user_63,2026-07-07,343900.0,90144.79,none
request_64,user_64,2024-06-04,63700.0,0.0,none
request_65,user_65,2025-11-06,54340.0,13023.98,none
request_66,user_66,2026-04-03,22200.0,22199.99,2026-04-03
request_67,user_67,2024-09-05,2094.0,792.54,none
request_68,user_68,2025-02-07,2091.6,2091.6,2025-02-07
request_69,user_69,2026-01-04,529.1,529.1,2026-01-04
request_70,user_70,2024-12-06,243900.0,93359.82,none
request_71,user_71,2025-05-03,21451000.0,7485048.33,none
request_72,user_72,2026-07-05,11330.0,11330.0,2026-07-05
request_73,user_73,2023-01-20,71400.0,71399.95,2023-01-20
request_74,user_74,2025-08-04,5010.0,5010.0,2025-08-04
request_75,user_75,2026-04-06,28270.0,28269.99,2026-04-06
request_76,user_76,2024-06-03,4455.6,1538.8,none
request_77,user_77,2025-11-05,60700.0,60699.96,2025-11-05
request_78,user_78,2025-10-02,50200.0,50199.96,2025-10-02
request_79,user_79,2024-09-04,2151.6,1104.08,none
request_80,user_80,2025-02-06,217500.0,152114.94,none
request_81,user_81,2026-07-03,2076.0,2076.0,2026-07-03
request_82,user_82,2024-12-05,1405.2,1011.4,none
request_83,user_83,2025-05-07,156200.0,28329.94,none
request_84,user_84,2026-04-04,95400.0,56564.97,none
request_85,user_85,2024-03-06,19304000.0,2422112.81,none
request_86,user_86,2025-08-03,46300.0,46299.97,2025-08-03
request_87,user_87,2026-01-05,487900.0,92849.68,none
request_88,user_88,2024-06-07,26092.0,15557.88,none
request_89,user_89,2025-11-04,13756000.0,13755986.89,2025-11-04
request_90,user_90,2026-07-06,2560.0,2560.0,2026-07-06
request_91,user_91,2024-09-03,1927.2,1927.2,2024-09-03
request_92,user_92,2025-02-05,34034.0,34033.98,2025-02-05
request_93,user_93,2026-04-07,1729.2,1729.2,2026-04-07
request_94,user_94,2024-12-04,572.0,572.0,2024-12-04
request_95,user_95,2025-05-06,553000.0,137864.99,none
request_96,user_96,2026-01-03,90200.0,90199.92,2026-01-03
request_97,user_97,2024-03-05,23496.0,8865.89,none
request_98,user_98,2025-08-07,27148.0,17244.69,none
request_99,user_99,2026-07-04,18062.0,18061.99,2026-07-04
