request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15655985.08,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 in full on 2025-08-03.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 in full on 2026-07-05.
request_28,689.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. No safe payment plan is available within minimum balance limits.
request_29,51523.96,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 in full on 2025-11-04.
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.2,2026-04-06,none,Use 1 installments of USD 775.2.
request_31,13840345.91,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. No safe payment plan is available within minimum balance limits.
request_32,33305.79,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. No safe payment plan is available within minimum balance limits.
request_33,65179.91,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. No safe payment plan is available within minimum balance limits.
request_34,129399.88,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 in full on 2024-12-04.
request_35,125129.98,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. No safe payment plan is available within minimum balance limits.
request_36,1446.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. No safe payment plan is available within minimum balance limits.
request_37,12068797.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. No safe payment plan is available within minimum balance limits.
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. No safe payment plan is available within minimum balance limits.
request_39,203104.99,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. No safe payment plan is available within minimum balance limits.
request_40,851,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. No safe payment plan is available within minimum balance limits.
request_41,21888922.82,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. No safe payment plan is available within minimum balance limits.
request_42,52099.96,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 in full on 2026-01-05.
request_43,13988740.82,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. No safe payment plan is available within minimum balance limits.
request_44,74560,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. No safe payment plan is available within minimum balance limits.
request_45,8833087.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. No safe payment plan is available within minimum balance limits.
request_46,49449.96,affordable_with_plan,installments,2024-12-03:49450,2024-12-03,none,Use 1 installments of INR 49450.
request_47,38113963.66,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 in full on 2025-05-05.
request_48,45699.97,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 in full on 2026-07-25.
request_49,20228775.09,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22. No safe payment plan is available within minimum balance limits.
request_50,43899.97,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 in full on 2025-08-06.
